#category;command;key;toogleKey1;toogleKey2;showType
0;59;67;18;0;1
0;60;66;18;0;1
0;62;74;18;0;1
0;63;78;18;0;1
0;64;84;18;0;1
0;65;72;18;16;1
0;66;86;18;0;1
0;67;82;18;0;1
0;68;75;18;0;1
0;78;77;18;16;1
0;70;77;18;0;1
0;71;79;18;16;1
0;72;80;18;16;1
0;73;85;18;0;1
0;74;82;18;16;1
0;75;83;18;16;1
0;76;88;18;0;1
0;77;73;18;16;1
0;79;190;18;0;1
0;80;69;18;16;1
0;81;76;18;0;1
0;1;33;18;0;1
0;2;34;18;0;1
0;3;27;0;0;1
0;4;13;0;0;1
0;5;9;0;0;1
0;6;72;18;0;1
0;7;87;18;0;1
0;10;70;18;0;1
0;11;80;18;0;1
0;12;89;18;0;1
0;49;112;18;0;1
0;50;113;18;0;1
0;51;114;18;0;1
0;52;115;18;0;1
0;53;116;18;0;1
0;54;117;18;0;1
0;55;118;18;0;1
0;56;119;18;0;1
0;57;120;18;0;1
0;58;121;18;0;1
0;13;112;0;0;1
0;14;113;0;0;1
0;15;114;0;0;1
0;16;115;0;0;1
0;17;116;0;0;1
0;18;117;0;0;1
0;19;118;0;0;1
0;20;119;0;0;1
0;21;120;0;0;1
0;22;121;0;0;1
0;23;122;0;0;1
0;24;123;0;0;1
0;25;49;18;0;1
0;26;50;18;0;1
0;27;51;18;0;1
0;28;52;18;0;1
0;29;53;18;0;1
0;30;54;18;0;1
0;31;55;18;0;1
0;32;56;18;0;1
0;33;57;18;0;1
0;34;48;18;0;1
0;35;189;18;0;1
0;36;187;18;0;1
0;37;97;18;0;1
0;38;98;18;0;1
0;39;99;18;0;1
0;40;100;18;0;1
0;41;101;18;0;1
0;42;102;18;0;1
0;43;103;18;0;1
0;44;104;18;0;1
0;45;105;18;0;1
0;46;96;18;0;1
0;47;111;18;0;1
0;48;106;18;0;1
0;92;32;18;0;1
0;93;33;0;0;1
0;94;34;0;0;1
0;95;36;0;0;1
0;89;35;0;0;1
0;86;46;0;0;1
1;59;67;0;0;1
1;60;66;0;0;1
1;63;78;0;0;1
1;64;84;0;0;1
1;66;86;0;0;1
1;67;82;0;0;1
1;68;75;0;0;1
1;70;77;0;0;1
1;73;85;0;0;1
1;76;88;0;0;1
1;79;190;0;0;1
1;80;69;0;0;1
1;13;112;0;0;1
1;14;113;0;0;1
1;15;114;0;0;1
1;16;115;0;0;1
1;17;116;0;0;1
1;18;117;0;0;1
1;19;118;0;0;1
1;20;119;0;0;1
1;21;120;0;0;1
1;22;121;0;0;1
1;23;122;0;0;1
1;24;123;0;0;1
1;25;49;0;0;1
1;26;50;0;0;1
1;27;51;0;0;1
1;28;52;0;0;1
1;29;53;0;0;1
1;30;54;0;0;1
1;31;55;0;0;1
1;32;56;0;0;1
1;33;57;0;0;1
1;34;48;0;0;1
1;35;189;0;0;1
1;36;187;0;0;1
1;37;97;0;0;1
1;38;98;0;0;1
1;39;99;0;0;1
1;40;100;0;0;1
1;41;101;0;0;1
1;42;102;0;0;1
1;43;103;0;0;1
1;44;104;0;0;1
1;45;105;0;0;1
1;46;96;0;0;1
1;47;111;0;0;1
1;48;106;0;0;1
1;82;65;0;0;1
1;83;68;0;0;1
1;84;87;0;0;1
1;85;83;0;0;1
1;86;46;0;0;1
1;96;65;0;0;3
1;97;68;0;0;3
1;98;87;0;0;3
1;99;83;0;0;3
2;59;67;0;0;1
2;60;66;0;0;1
2;63;78;0;0;1
2;64;84;0;0;1
2;66;86;0;0;1
2;67;82;0;0;1
2;68;75;0;0;1
2;70;77;0;0;1
2;73;85;0;0;1
2;76;88;0;0;1
2;79;190;0;0;1
2;128;49;0;0;1
2;129;50;0;0;1
2;130;51;0;0;1
2;131;52;0;0;1
2;132;53;0;0;1
2;133;54;0;0;1
2;134;55;0;0;1
2;135;56;0;0;1
2;136;57;0;0;1
2;137;48;0;0;1
2;138;189;0;0;1
2;139;187;0;0;1
2;140;32;0;0;1
2;86;46;0;0;1
2;82;65;0;0;1
2;83;68;0;0;1
2;84;87;0;0;1
2;152;83;0;0;1
2;143;69;0;0;1
2;144;81;0;0;1
2;96;65;0;0;3
2;97;68;0;0;3
2;98;87;0;0;3
2;147;69;0;0;3
2;148;81;0;0;3
2;93;33;0;0;1
2;94;34;0;0;1
2;95;36;0;0;1
3;59;67;0;0;1
3;60;66;0;0;1
3;63;78;0;0;1
3;64;84;0;0;1
3;66;86;0;0;1
3;67;82;0;0;1
3;68;75;0;0;1
3;70;77;0;0;1
3;73;85;0;0;1
3;76;88;0;0;1
3;79;190;0;0;1
3;116;49;0;0;1
3;117;50;0;0;1
3;118;51;0;0;1
3;119;52;0;0;1
3;120;53;0;0;1
3;121;54;0;0;1
3;122;55;0;0;1
3;123;56;0;0;1
3;124;57;0;0;1
3;125;48;0;0;1
3;126;189;0;0;1
3;127;187;0;0;1
3;140;32;0;0;1
3;86;46;0;0;1
3;145;106;0;0;1
3;82;65;0;0;1
3;83;68;0;0;1
3;84;87;0;0;1
3;151;83;0;0;1
3;141;69;0;0;1
3;142;81;0;0;1
3;96;65;0;0;3
3;97;68;0;0;3
3;98;87;0;0;3
3;147;69;0;0;3
3;148;81;0;0;3
3;93;33;0;0;1
3;94;34;0;0;1
3;95;36;0;0;1
